"","ip","date","hour","minute","seconds","zone","request1","request2","status","respsize","url","computer","timeR","attaque"
"47","192.108.116.88","17/Dec/2017","16","22","30","+0000","GET ","css/index.css HTTP/1.1",304,NA,"http://31.14.135.81:3000/","datalab SELECT grantee, privilege_type, is_grantable FROM information_schema.user_privileges; ? list user privsSELECT host, user, Select_priv, Insert_priv, Update_priv, Delete_priv, Create_priv, Drop_priv, Reload_priv, Shutdown_priv, Process_priv, File_priv, Grant_priv, References_priv, Index_priv, Alter_priv, Show_db_priv, Super_priv, Create_tmp_table_priv, Lock_tables_priv, Execute_priv, Repl_slave_priv, Repl_client_priv FROM mysql.user; ? priv, list user privsSELECT grantee, table_schema, privilege_type FROM information_schema.schema_privileges; ? list privs on databases (schemas)SELECT table_schema, table_name, column_name, privilege_type FROM information_schema.column_privileges; ? list privs on columns Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36",3,1
"48","192.108.116.88","17/Dec/2017","16","22","30","+0000","GET ","img/logo.png HTTP/1.1",304,NA,"http://31.14.135.81:3000/","datalab SELECT grantee, privilege_type, is_grantable FROM information_schema.user_privileges; ? list user privsSELECT host, user, Select_priv, Insert_priv, Update_priv, Delete_priv, Create_priv, Drop_priv, Reload_priv, Shutdown_priv, Process_priv, File_priv, Grant_priv, References_priv, Index_priv, Alter_priv, Show_db_priv, Super_priv, Create_tmp_table_priv, Lock_tables_priv, Execute_priv, Repl_slave_priv, Repl_client_priv FROM mysql.user; ? priv, list user privsSELECT grantee, table_schema, privilege_type FROM information_schema.schema_privileges; ? list privs on databases (schemas)SELECT table_schema, table_name, column_name, privilege_type FROM information_schema.column_privileges; ? list privs on columns Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36",4,1
"49","192.108.116.88","17/Dec/2017","16","22","55","+0000","GET "," HTTP/1.1/NA",200,1040,NA,"datalab SELECT grantee, privilege_type, is_grantable FROM information_schema.user_privileges WHERE privilege_type = ?SUPER?;SELECT host, user FROM mysql.user WHERE Super_priv = ?Y?; # priv Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36",0,1
"50","192.108.116.88","17/Dec/2017","16","22","55","+0000","GET ","css/index.css HTTP/1.1",200,945,"http://31.14.135.81:3000/","datalab SELECT grantee, privilege_type, is_grantable FROM information_schema.user_privileges WHERE privilege_type = ?SUPER?;SELECT host, user FROM mysql.user WHERE Super_priv = ?Y?; # priv Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36",0,1
"51","192.108.116.88","17/Dec/2017","16","22","55","+0000","GET ","img/logo.png HTTP/1.1",200,34463,"http://31.14.135.81:3000/","datalab SELECT grantee, privilege_type, is_grantable FROM information_schema.user_privileges WHERE privilege_type = ?SUPER?;SELECT host, user FROM mysql.user WHERE Super_priv = ?Y?; # priv Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36",0,1
"52","192.108.116.88","17/Dec/2017","16","22","56","+0000","POST ","datalab HTTP/1.1/NA",200,1073,"http://31.14.135.81:3000/","datalab SELECT grantee, privilege_type, is_grantable FROM information_schema.user_privileges WHERE privilege_type = ?SUPER?;SELECT host, user FROM mysql.user WHERE Super_priv = ?Y?; # priv Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36",174,1
"53","192.108.116.88","17/Dec/2017","16","22","56","+0000","GET ","img/logo.png HTTP/1.1",304,NA,"http://31.14.135.81:3000/","datalab SELECT grantee, privilege_type, is_grantable FROM information_schema.user_privileges WHERE privilege_type = ?SUPER?;SELECT host, user FROM mysql.user WHERE Super_priv = ?Y?; # priv Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36",2,1
"54","192.108.116.88","17/Dec/2017","16","22","56","+0000","GET ","css/index.css HTTP/1.1",304,NA,"http://31.14.135.81:3000/","datalab SELECT grantee, privilege_type, is_grantable FROM information_schema.user_privileges WHERE privilege_type = ?SUPER?;SELECT host, user FROM mysql.user WHERE Super_priv = ?Y?; # priv Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36",0,1
"55","192.108.116.88","17/Dec/2017","16","23","13","+0000","GET "," HTTP/1.1/NA",200,1040,NA,"datalab SELECT database() Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36",1,1
"56","192.108.116.88","17/Dec/2017","16","23","14","+0000","GET ","css/index.css HTTP/1.1",200,945,"http://31.14.135.81:3000/","datalab SELECT database() Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36",1,1
"57","192.108.116.88","17/Dec/2017","16","23","14","+0000","GET ","img/logo.png HTTP/1.1",200,34463,"http://31.14.135.81:3000/","datalab SELECT database() Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36",1,1
"58","192.108.116.88","17/Dec/2017","16","23","15","+0000","POST ","datalab HTTP/1.1/NA",200,1073,"http://31.14.135.81:3000/","datalab SELECT database() Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36",140,1
"59","192.108.116.88","17/Dec/2017","16","23","15","+0000","GET ","css/index.css HTTP/1.1",304,NA,"http://31.14.135.81:3000/","datalab SELECT database() Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36",0,1
"60","192.108.116.88","17/Dec/2017","16","23","15","+0000","GET ","img/logo.png HTTP/1.1",304,NA,"http://31.14.135.81:3000/","datalab SELECT database() Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36",0,1
"61","192.108.116.88","17/Dec/2017","16","23","36","+0000","GET "," HTTP/1.1/NA",200,1040,NA,"datalab SELECT schema_name FROM information_schema.schemata; ? for MySQL >= v5.0 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36",1,1
"62","192.108.116.88","17/Dec/2017","16","23","36","+0000","GET ","css/index.css HTTP/1.1",200,945,"http://31.14.135.81:3000/","datalab SELECT schema_name FROM information_schema.schemata; ? for MySQL >= v5.0 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36",2,1
"63","192.108.116.88","17/Dec/2017","16","23","36","+0000","GET ","img/logo.png HTTP/1.1",200,34463,"http://31.14.135.81:3000/","datalab SELECT schema_name FROM information_schema.schemata; ? for MySQL >= v5.0 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36",1,1
"64","192.108.116.88","17/Dec/2017","16","23","37","+0000","POST ","datalab HTTP/1.1/NA",200,1073,"http://31.14.135.81:3000/","datalab SELECT schema_name FROM information_schema.schemata; ? for MySQL >= v5.0 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36",167,1
"65","192.108.116.88","17/Dec/2017","16","23","37","+0000","GET ","css/index.css HTTP/1.1",304,NA,"http://31.14.135.81:3000/","datalab SELECT schema_name FROM information_schema.schemata; ? for MySQL >= v5.0 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36",0,1
"66","192.108.116.88","17/Dec/2017","16","23","37","+0000","GET ","img/logo.png HTTP/1.1",304,NA,"http://31.14.135.81:3000/","datalab SELECT schema_name FROM information_schema.schemata; ? for MySQL >= v5.0 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36",2,1
"67","192.108.116.88","17/Dec/2017","16","24","00","+0000","GET "," HTTP/1.1/NA",200,1040,NA,"datalab SELECT distinct(db) FROM mysql.db ? priv Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36",1,1
"68","192.108.116.88","17/Dec/2017","16","24","00","+0000","GET ","css/index.css HTTP/1.1",200,945,"http://31.14.135.81:3000/","datalab SELECT distinct(db) FROM mysql.db ? priv Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36",1,1
"69","192.108.116.88","17/Dec/2017","16","24","00","+0000","GET ","img/logo.png HTTP/1.1",200,34463,"http://31.14.135.81:3000/","datalab SELECT distinct(db) FROM mysql.db ? priv Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36",1,1
"70","192.108.116.88","17/Dec/2017","16","24","01","+0000","POST ","datalab HTTP/1.1/NA",200,1073,"http://31.14.135.81:3000/","datalab SELECT distinct(db) FROM mysql.db ? priv Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36",167,1
